model,label,arm,n,outcome,reasoning,combined,outcome_minus_reasoning,declined_pct,dispo_exact_pct,n_attempted,pct_scoring_1,pct_scoring_0
anthropic/claude-fable-5,Claude Fable 5,pre_cutoff,103,0.674,0.54,0.607,0.134,8.7,75.3,93,13.6,18.4
anthropic/claude-fable-5,Claude Fable 5,post_cutoff,32,0.0,0.0,0.0,0.0,100.0,,0,0.0,100.0
openai/gpt-5.6-sol,GPT-5.6 Sol,pre_cutoff,104,0.494,0.416,0.455,0.077,23.1,64.6,79,15.4,36.5
openai/gpt-5.6-sol,GPT-5.6 Sol,post_cutoff,32,0.0,0.0,0.0,0.0,100.0,,0,0.0,100.0
google/gemini-3.1-pro-preview,Gemini 3.1 Pro,pre_cutoff,93,0.452,0.382,0.417,0.07,29.0,50.8,65,6.5,38.7
google/gemini-3.1-pro-preview,Gemini 3.1 Pro,post_cutoff,43,0.041,0.029,0.035,0.012,95.3,100.0,2,0.0,95.3
openai/gpt-5,GPT-5,pre_cutoff,90,0.401,0.265,0.333,0.136,26.7,55.6,63,6.7,41.1
openai/gpt-5,GPT-5,post_cutoff,45,0.006,0.006,0.006,0.0,97.8,100.0,1,0.0,97.8
google/gemini-2.5-pro,Gemini 2.5 Pro,pre_cutoff,93,0.359,0.166,0.263,0.193,7.5,41.7,84,2.2,38.7
google/gemini-2.5-pro,Gemini 2.5 Pro,post_cutoff,43,0.0,0.0,0.0,0.0,100.0,,0,0.0,100.0
anthropic/claude-opus-4,Claude Opus 4,pre_cutoff,93,0.059,0.04,0.049,0.019,90.3,33.3,9,0.0,90.3
anthropic/claude-opus-4,Claude Opus 4,post_cutoff,43,0.0,0.0,0.0,0.0,100.0,,0,0.0,100.0
