[06:24:04] Loaded 1440 existing results.
[06:24:04] P13 binary cache loaded.
[06:24:04] Total P13-P16 items: 550 | Already done: 0 | Remaining: 550
[06:24:10]   [   1/550] P13 id=   1 | binary:✓ full:✓
[06:24:17]   [   2/550] P13 id=   2 | binary:✓ full:✗
[06:24:23]   [   3/550] P13 id=   3 | binary:✓ full:✓
[06:24:27]   [   4/550] P13 id=   4 | binary:✓ full:✓
[06:24:32]   [   5/550] P13 id=   5 | binary:✓ full:✓
[06:24:37]   [   6/550] P13 id=   6 | binary:✓ full:✓
[06:24:42]   [   7/550] P13 id=   7 | binary:✓ full:✓
[06:24:46]   [   8/550] P13 id=   8 | binary:✓ full:✓
[06:24:50]   [   9/550] P13 id=   9 | binary:✓ full:✓
[06:24:54]   [  10/550] P13 id=  10 | binary:✗ full:✓
[06:24:58]   [  11/550] P13 id=  11 | binary:✓ full:✗
[06:25:02]   [  12/550] P13 id=  12 | binary:✗ full:✓
[06:25:06]   [  13/550] P13 id=  13 | binary:✓ full:✓
[06:25:10]   [  14/550] P13 id=  14 | binary:✗ full:✓
[06:25:15]   [  15/550] P13 id=  15 | binary:✗ full:✗
[06:25:19]   [  16/550] P13 id=  16 | binary:✓ full:✓
[06:25:26]   [  17/550] P13 id=  17 | binary:✓ full:✓
[06:25:31]   [  18/550] P13 id=  18 | binary:✓ full:✓
[06:25:35]   [  19/550] P13 id=  19 | binary:✓ full:✓
[06:25:40]   [  20/550] P13 id=  20 | binary:✓ full:✗
[06:25:44]   [  21/550] P13 id=  21 | binary:✗ full:✓
[06:25:48]   [  22/550] P13 id=  22 | binary:✓ full:✓
[06:25:52]   [  23/550] P13 id=  23 | binary:✗ full:✗
[06:25:57]   [  24/550] P13 id=  24 | binary:✓ full:✓
[06:26:01]   [  25/550] P13 id=  25 | binary:✓ full:✓
[06:26:05]   [  26/550] P13 id=  26 | binary:✓ full:✓
[06:26:10]   [  27/550] P13 id=  27 | binary:✓ full:✓
[06:26:14]   [  28/550] P13 id=  28 | binary:✗ full:✓
[06:26:18]   [  29/550] P13 id=  29 | binary:✓ full:✓
[06:26:22]   [  30/550] P13 id=  30 | binary:✗ full:✓
[06:26:26]   [  31/550] P13 id=  31 | binary:✓ full:✗
