[22:39:30] Loaded 1068 existing results.
[22:39:30] P13 binary cache loaded.
[22:39:30] Total items: 1049 | Already done: 677 | Remaining: 372
[22:39:34]   [   1/372] P13 id= 179 | binary:✓ full:✓
[22:39:38]   [   2/372] P13 id= 180 | binary:✓ full:✓
[22:39:42]   [   3/372] P13 id= 181 | binary:✗ full:✓
[22:39:47]   [   4/372] P13 id= 182 | binary:✓ full:✗
[22:39:54]   [   5/372] P13 id= 183 | binary:✗ full:✗
[22:39:58]   [   6/372] P13 id= 184 | binary:✗ full:✓
[22:40:03]   [   7/372] P13 id= 185 | binary:✗ full:✓
[22:40:06]   [   8/372] P13 id= 186 | binary:✓ full:✗
[22:40:10]   [   9/372] P13 id= 187 | binary:✓ full:✗
[22:40:14]   [  10/372] P13 id= 188 | binary:✓ full:✓
[22:40:17]   [  11/372] P13 id= 189 | binary:✓ full:✗
[22:40:21]   [  12/372] P13 id= 190 | binary:✗ full:✗
[22:40:25]   [  13/372] P13 id= 191 | binary:✗ full:✓
[22:40:29]   [  14/372] P13 id= 192 | binary:✓ full:✓
[22:40:34]   [  15/372] P13 id= 193 | binary:✓ full:✓
[22:40:40]   [  16/372] P13 id= 194 | binary:✓ full:✓
[22:40:47]   [  17/372] P13 id= 195 | binary:✗ full:✓
[22:40:51]   [  18/372] P13 id= 196 | binary:✓ full:✗
[22:40:55]   [  19/372] P13 id= 197 | binary:✗ full:✓
[22:40:59]   [  20/372] P13 id= 198 | binary:✗ full:✗
[22:41:03]   [  21/372] P13 id= 199 | binary:✓ full:✓
[22:41:07]   [  22/372] P13 id= 200 | binary:✓ full:✗
[22:41:11]   [  23/372] P13 id= 201 | binary:✗ full:✓
[22:41:14]   [  24/372] P13 id= 202 | binary:✗ full:✓
[22:41:18]   [  25/372] P13 id= 203 | binary:✓ full:✓
[22:41:21]   [  26/372] P13 id= 204 | binary:✓ full:✓
[22:41:25]   [  27/372] P13 id= 205 | binary:✓ full:✓
[22:41:31]   [  28/372] P13 id= 206 | binary:✓ full:✓
[22:41:38]   [  29/372] P13 id= 207 | binary:✓ full:✓
[22:41:44]   [  30/372] P13 id= 208 | binary:✓ full:✗
[22:41:48]   [  31/372] P13 id= 209 | binary:✓ full:✗
[22:41:53]   [  32/372] P13 id= 210 | binary:✓ full:✗
[22:41:56]   [  33/372] P13 id= 211 | binary:✓ full:✓
[22:42:00]   [  34/372] P13 id= 212 | binary:✓ full:✓
[22:42:03]   [  35/372] P13 id= 213 | binary:✓ full:✓
[22:42:08]   [  36/372] P13 id= 214 | binary:✗ full:✓
[22:42:13]   [  37/372] P13 id= 215 | binary:✗ full:✓
[22:42:18]   [  38/372] P13 id= 216 | binary:✓ full:✓
[22:42:21]   [  39/372] P13 id= 217 | binary:✗ full:✗
[22:42:25]   [  40/372] P13 id= 218 | binary:✓ full:✓
[22:42:34]   [  41/372] P13 id= 219 | binary:✓ full:✗
[22:42:37]   [  42/372] P13 id= 220 | binary:✓ full:✗
[22:42:44]   [  43/372] P13 id= 221 | binary:✓ full:✓
[22:42:48]   [  44/372] P13 id= 222 | binary:✓ full:✓
[22:42:52]   [  45/372] P13 id= 223 | binary:✓ full:✓
[22:42:56]   [  46/372] P13 id= 224 | binary:✓ full:✓
[22:43:05]   [  47/372] P13 id= 225 | binary:✗ full:✗
[22:43:08]   [  48/372] P13 id= 226 | binary:✓ full:✗
[22:43:12]   [  49/372] P13 id= 227 | binary:✓ full:✓
[22:43:22]   [  50/372] P13 id= 228 | binary:✓ full:✗
[22:43:25]   [  51/372] P13 id= 229 | binary:✗ full:✓
[22:43:29]   [  52/372] P13 id= 230 | binary:✓ full:✓
[22:43:31]   [  53/372] P13 id= 231 | binary:✓ full:✗
[22:43:36]   [  54/372] P13 id= 232 | binary:✓ full:✓
[22:43:38]   [  55/372] P13 id= 233 | binary:✗ full:✗
[22:43:42]   [  56/372] P13 id= 234 | binary:✓ full:✓
[22:43:45]   [  57/372] P13 id= 235 | binary:✓ full:✗
[22:43:53]   [  58/372] P13 id= 236 | binary:✗ full:✗
[22:43:57]   [  59/372] P13 id= 237 | binary:✓ full:✗
[22:44:02]   [  60/372] P13 id= 238 | binary:✗ full:✓
[22:44:05]   [  61/372] P13 id= 239 | binary:✓ full:✗
[22:44:08]   [  62/372] P13 id= 240 | binary:✗ full:✗
[22:44:10]   [  63/372] P13 id= 241 | binary:✗ full:✗
[22:44:13]   [  64/372] P13 id= 242 | binary:✓ full:✓
[22:44:18]   [  65/372] P13 id= 243 | binary:✓ full:✓
[22:44:21]   [  66/372] P13 id= 244 | binary:✓ full:✓
[22:44:24]   [  67/372] P13 id= 245 | binary:✗ full:✗
[22:44:30]   [  68/372] P13 id= 246 | binary:✗ full:✓
[22:44:34]   [  69/372] P13 id= 247 | binary:✗ full:✓
[22:44:37]   [  70/372] P13 id= 248 | binary:✓ full:✓
[22:44:42]   [  71/372] P13 id= 249 | binary:✗ full:✗
[22:44:46]   [  72/372] P13 id= 250 | binary:✓ full:✓
[22:44:49]   [  73/372] P14 id=   1 | binary:✓ full:✓
[22:44:52]   [  74/372] P14 id=   2 | binary:✓ full:✓
[22:44:55]   [  75/372] P14 id=   3 | binary:✓ full:✓
[22:45:00]   [  76/372] P14 id=   4 | binary:✓ full:✓
[22:45:03]   [  77/372] P14 id=   5 | binary:✓ full:✓
[22:45:05]   [  78/372] P14 id=   6 | binary:✓ full:✓
[22:45:09]   [  79/372] P14 id=   7 | binary:✓ full:✓
[22:45:14]   [  80/372] P14 id=   8 | binary:✓ full:✓
[22:45:18]   [  81/372] P14 id=   9 | binary:✓ full:✓
[22:45:24]   [  82/372] P14 id=  10 | binary:✓ full:✓
[22:45:26]   [  83/372] P14 id=  11 | binary:✓ full:✓
[22:45:30]   [  84/372] P14 id=  12 | binary:✓ full:✓
[22:45:33]   [  85/372] P14 id=  13 | binary:✓ full:✓
[22:45:36]   [  86/372] P14 id=  14 | binary:✓ full:✓
[22:45:39]   [  87/372] P14 id=  15 | binary:✓ full:✓
[22:45:51]   [  88/372] P14 id=  16 | binary:✓ full:✓
[22:46:09]   [  89/372] P14 id=  17 | binary:✓ full:✓
[22:46:14]   [  90/372] P14 id=  18 | binary:✓ full:✓
[22:46:16]   [  91/372] P14 id=  19 | binary:✓ full:✓
[22:46:20]   [  92/372] P14 id=  20 | binary:✓ full:✓
[22:46:23]   [  93/372] P14 id=  21 | binary:✓ full:✓
[22:46:26]   [  94/372] P14 id=  22 | binary:✓ full:✓
[22:46:30]   [  95/372] P14 id=  23 | binary:✓ full:✓
[22:46:32]   [  96/372] P14 id=  24 | binary:✓ full:✓
[22:46:37]   [  97/372] P14 id=  25 | binary:✓ full:✓
[22:46:40]   [  98/372] P14 id=  26 | binary:✓ full:✓
[22:46:42]   [  99/372] P14 id=  27 | binary:✓ full:✓
[22:46:45]   [ 100/372] P14 id=  28 | binary:✓ full:✓
[22:46:48]   [ 101/372] P14 id=  29 | binary:✓ full:✓
[22:46:52]   [ 102/372] P14 id=  30 | binary:✓ full:✓
[22:46:56]   [ 103/372] P14 id=  31 | binary:✓ full:✓
[22:46:58]   [ 104/372] P14 id=  32 | binary:✓ full:✓
[22:47:01]   [ 105/372] P14 id=  33 | binary:✓ full:✓
[22:47:06]   [ 106/372] P14 id=  34 | binary:✓ full:✓
[22:47:09]   [ 107/372] P14 id=  35 | binary:✓ full:✓
[22:47:12]   [ 108/372] P14 id=  36 | binary:✓ full:✓
[22:47:15]   [ 109/372] P14 id=  37 | binary:✓ full:✓
[22:47:18]   [ 110/372] P14 id=  38 | binary:✓ full:✓
[22:47:23]   [ 111/372] P14 id=  39 | binary:✓ full:✓
[22:47:27]   [ 112/372] P14 id=  40 | binary:✓ full:✓
[22:47:29]   [ 113/372] P14 id=  41 | binary:✓ full:✓
[22:47:34]   [ 114/372] P14 id=  42 | binary:✓ full:✓
[22:47:37]   [ 115/372] P14 id=  43 | binary:✓ full:✓
[22:47:43]   [ 116/372] P14 id=  44 | binary:✓ full:✓
[22:47:45]   [ 117/372] P14 id=  45 | binary:✓ full:✓
[22:47:48]   [ 118/372] P14 id=  46 | binary:✓ full:✓
[22:47:51]   [ 119/372] P14 id=  47 | binary:✓ full:✓
[22:47:56]   [ 120/372] P14 id=  48 | binary:✓ full:✓
[22:47:59]   [ 121/372] P14 id=  49 | binary:✓ full:✓
[22:48:04]   [ 122/372] P14 id=  50 | binary:✓ full:✓
[22:48:06]   [ 123/372] P15 id=   1 | binary:✓ full:✓
[22:48:10]   [ 124/372] P15 id=   2 | binary:✓ full:✓
[22:48:14]   [ 125/372] P15 id=   3 | binary:✓ full:✓
[22:48:18]   [ 126/372] P15 id=   4 | binary:✓ full:✓
[22:48:21]   [ 127/372] P15 id=   5 | binary:✓ full:✓
[22:48:24]   [ 128/372] P15 id=   6 | binary:✓ full:✓
[22:48:27]   [ 129/372] P15 id=   7 | binary:✓ full:✓
[22:48:30]   [ 130/372] P15 id=   8 | binary:✓ full:✓
[22:48:34]   [ 131/372] P15 id=   9 | binary:✓ full:✓
[22:48:38]   [ 132/372] P15 id=  10 | binary:✓ full:✓
[23:07:29]   [ 133/372] P15 id=  11 | binary:✓ full:✓
[23:07:33]   [ 134/372] P15 id=  12 | binary:✓ full:✓
[23:07:38]   [ 135/372] P15 id=  13 | binary:✓ full:✓
[23:07:43]   [ 136/372] P15 id=  14 | binary:✓ full:✓
[23:07:46]   [ 137/372] P15 id=  15 | binary:✓ full:✓
[23:07:51]   [ 138/372] P15 id=  16 | binary:✓ full:✓
[23:42:10]   [ 139/372] P15 id=  17 | binary:✓ full:✓
[23:42:14]   [ 140/372] P15 id=  18 | binary:✓ full:✓
[23:42:17]   [ 141/372] P15 id=  19 | binary:✓ full:✓
[23:57:01] Loaded 1209 existing results.
[23:57:01] P13 binary cache loaded.
[23:57:01] Total items: 1049 | Already done: 818 | Remaining: 231
[23:57:05]   [   1/231] P15 id=  20 | binary:✓ full:✓
[23:57:08]   [   2/231] P15 id=  21 | binary:✓ full:✓
[23:57:12]   [   3/231] P15 id=  22 | binary:✓ full:✓
[23:57:16]   [   4/231] P15 id=  23 | binary:✓ full:✓
[23:57:20]   [   5/231] P15 id=  24 | binary:✓ full:✓
[23:57:23]   [   6/231] P15 id=  25 | binary:✓ full:✓
[23:57:26]   [   7/231] P15 id=  26 | binary:✓ full:✓
[23:57:30]   [   8/231] P15 id=  27 | binary:✓ full:✓
[23:57:33]   [   9/231] P15 id=  28 | binary:✓ full:✓
[23:57:36]   [  10/231] P15 id=  29 | binary:✓ full:✓
[23:57:39]   [  11/231] P15 id=  30 | binary:✓ full:✓
[23:57:43]   [  12/231] P15 id=  31 | binary:✓ full:✓
[23:57:46]   [  13/231] P15 id=  32 | binary:✓ full:✓
[23:57:49]   [  14/231] P15 id=  33 | binary:✓ full:✓
[23:57:51]   [  15/231] P15 id=  34 | binary:✓ full:✓
[23:57:54]   [  16/231] P15 id=  35 | binary:✓ full:✓
[23:57:57]   [  17/231] P15 id=  36 | binary:✓ full:✓
[23:58:00]   [  18/231] P15 id=  37 | binary:✓ full:✓
[23:58:03]   [  19/231] P15 id=  38 | binary:✓ full:✓
[23:58:07]   [  20/231] P15 id=  39 | binary:✓ full:✓
[23:58:10]   [  21/231] P15 id=  40 | binary:✓ full:✓
[23:58:13]   [  22/231] P15 id=  41 | binary:✓ full:✓
[23:58:17]   [  23/231] P15 id=  42 | binary:✓ full:✓
[23:58:18]   [  24/231] P15 id=  43 | binary:✓ full:✓
[23:58:21]   [  25/231] P15 id=  44 | binary:✓ full:✓
[23:58:23]   [  26/231] P15 id=  45 | binary:✓ full:✓
[23:58:26]   [  27/231] P15 id=  46 | binary:✓ full:✓
[23:58:29]   [  28/231] P15 id=  47 | binary:✓ full:✓
[23:58:33]   [  29/231] P15 id=  48 | binary:✓ full:✓
[23:58:36]   [  30/231] P15 id=  49 | binary:✓ full:✓
[23:58:39]   [  31/231] P15 id=  50 | binary:✓ full:✓
[23:58:42]   [  32/231] P16 id=   1 | binary:✓ full:✓
[23:58:46]   [  33/231] P16 id=   2 | binary:✗ full:✗
[23:58:48]   [  34/231] P16 id=   3 | binary:✗ full:✗
[23:58:53]   [  35/231] P16 id=   4 | binary:✓ full:✓
[23:58:56]   [  36/231] P16 id=   5 | binary:✓ full:✓
[23:58:59]   [  37/231] P16 id=   6 | binary:✓ full:✓
[23:59:03]   [  38/231] P16 id=   7 | binary:✓ full:✓
[23:59:06]   [  39/231] P16 id=   8 | binary:✓ full:✓
[23:59:08]   [  40/231] P16 id=   9 | binary:✓ full:✓
[23:59:12]   [  41/231] P16 id=  10 | binary:✗ full:✓
[23:59:15]   [  42/231] P16 id=  11 | binary:✓ full:✓
[23:59:18]   [  43/231] P16 id=  12 | binary:✓ full:✓
[23:59:21]   [  44/231] P16 id=  13 | binary:✓ full:✓
[23:59:24]   [  45/231] P16 id=  14 | binary:✓ full:✓
[23:59:27]   [  46/231] P16 id=  15 | binary:✓ full:✓
[23:59:30]   [  47/231] P16 id=  16 | binary:✓ full:✓
[23:59:33]   [  48/231] P16 id=  17 | binary:✓ full:✓
