,anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,anthropic/claude-sonnet-4.6,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,google/gemini-3.5-flash,openai/gpt-5.4,openai/gpt-5.4-mini,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-9b,qwen/qwen3.6-35b-a3b
anthropic/claude-haiku-4.5,0.0,0.06988122015614806,0.06672653354474056,0.08033284122935938,0.10235344548534614,0.10490547149858301,0.07733873499132987,0.06721817019111213,0.07607304620102294,0.059528078306638144,0.08041959983911133,0.0802188068141749
anthropic/claude-opus-4.8,0.06988122015614806,0.0,0.03472196343861891,0.06137780500418508,0.050523450006426114,0.04459752723889393,0.038938103026390156,0.061129089949980904,0.03570763125270027,0.05618517620899566,0.07676785220722115,0.058406447319699864
anthropic/claude-sonnet-4.6,0.06672653354474056,0.03472196343861891,0.0,0.07522964077449562,0.07188078529447633,0.057839559107706315,0.054952508408642756,0.07664040948134677,0.04921930556652134,0.06380704081742838,0.07576537288532681,0.061824477344623784
google/gemini-3.1-flash-lite,0.08033284122935938,0.06137780500418508,0.07522964077449562,0.0,0.06275545172237541,0.07312009165755909,0.0748701674516469,0.07920499599224,0.07713305775399817,0.05344395938758245,0.07988255417679294,0.06503196248763422
google/gemini-3.1-pro-preview,0.10235344548534614,0.050523450006426114,0.07188078529447633,0.06275545172237541,0.0,0.03851386483577411,0.05355304968082282,0.07123695898690913,0.051813285707840176,0.07900572194018692,0.09870722858149136,0.08088778877682372
google/gemini-3.5-flash,0.10490547149858301,0.04459752723889393,0.057839559107706315,0.07312009165755909,0.03851386483577411,0.0,0.056240609645479,0.08097564629283338,0.05408909067944262,0.08054233602349119,0.09820016973689358,0.07342557487600437
openai/gpt-5.4,0.07733873499132987,0.038938103026390156,0.054952508408642756,0.0748701674516469,0.05355304968082282,0.056240609645479,0.0,0.041362159077510466,0.022428702295973754,0.06904907363187865,0.0906909543786664,0.07407086054770931
openai/gpt-5.4-mini,0.06721817019111213,0.061129089949980904,0.07664040948134677,0.07920499599224,0.07123695898690913,0.08097564629283338,0.041362159077510466,0.0,0.038664903127177075,0.07103466938983738,0.09437843043436026,0.088312597016651
openai/gpt-5.5,0.07607304620102294,0.03570763125270027,0.04921930556652134,0.07713305775399817,0.051813285707840176,0.05408909067944262,0.022428702295973754,0.038664903127177075,0.0,0.0715636032939908,0.08878920069059928,0.06669760434830882
qwen/qwen3.5-397b-a17b,0.059528078306638144,0.05618517620899566,0.06380704081742838,0.05344395938758245,0.07900572194018692,0.08054233602349119,0.06904907363187865,0.07103466938983738,0.0715636032939908,0.0,0.06680156286341574,0.06697973647667065
qwen/qwen3.5-9b,0.08041959983911133,0.07676785220722115,0.07576537288532681,0.07988255417679294,0.09870722858149136,0.09820016973689358,0.0906909543786664,0.09437843043436026,0.08878920069059928,0.06680156286341574,0.0,0.0666059700610327
qwen/qwen3.6-35b-a3b,0.0802188068141749,0.058406447319699864,0.061824477344623784,0.06503196248763422,0.08088778877682372,0.07342557487600437,0.07407086054770931,0.088312597016651,0.06669760434830882,0.06697973647667065,0.0666059700610327,0.0
