,anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,anthropic/claude-sonnet-4.6,gold,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,google/gemini-3.5-flash,openai/gpt-5.4,openai/gpt-5.4-mini,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-9b,qwen/qwen3.6-35b-a3b
anthropic/claude-haiku-4.5,0.0,0.09142143780093978,0.09307392364653977,0.1415002619523824,0.09269110051771509,0.12192673886594563,0.11948021541849885,0.085875962406299,0.08064573439555187,0.09761538866069573,0.07552801189830732,0.07107901758401142,0.0724752988539477
anthropic/claude-opus-4.8,0.09142143780093978,0.0,0.06733289589033299,0.0821634713444293,0.07978646566359707,0.06855161921298444,0.0572039073834688,0.052234812053379695,0.10110903664827864,0.06400256411265844,0.0859859048657956,0.10482883244115263,0.09163824847479107
anthropic/claude-sonnet-4.6,0.09307392364653977,0.06733289589033299,0.0,0.09211941713211834,0.0961379808065852,0.09463826473001324,0.08413179415983497,0.08772434718978978,0.1154211332095289,0.09232396188573654,0.096914550959851,0.11619328828007322,0.10104987276689184
gold,0.1415002619523824,0.0821634713444293,0.09211941713211834,0.0,0.09723248777701672,0.09615800091086225,0.09217200990020856,0.09705859603282403,0.14064988198527706,0.08655509397230254,0.10949364147212923,0.14274095172605095,0.11642726619433483
google/gemini-3.1-flash-lite,0.09269110051771509,0.07978646566359707,0.0961379808065852,0.09723248777701672,0.0,0.07510899524637608,0.08509289878734458,0.08359924194393757,0.10909480678954131,0.0844770357702741,0.07520363374078988,0.08302531575670125,0.07728307765587028
google/gemini-3.1-pro-preview,0.12192673886594563,0.06855161921298444,0.09463826473001324,0.09615800091086225,0.07510899524637608,0.0,0.049805755642750874,0.07275005682397664,0.11381053505488684,0.07529151591874919,0.09575078989349259,0.12036340982381777,0.10044196787784349
google/gemini-3.5-flash,0.11948021541849885,0.0572039073834688,0.08413179415983497,0.09217200990020856,0.08509289878734458,0.049805755642750874,0.0,0.07042114872985974,0.12988224552185273,0.07744536941962461,0.09140872081823627,0.12856056752476383,0.1006270377202561
openai/gpt-5.4,0.085875962406299,0.052234812053379695,0.08772434718978978,0.09705859603282403,0.08359924194393757,0.07275005682397664,0.07042114872985974,0.0,0.07493696061704193,0.04486409421479228,0.08362587936065341,0.09681377861721005,0.09128032041969988
openai/gpt-5.4-mini,0.08064573439555187,0.10110903664827864,0.1154211332095289,0.14064988198527706,0.10909480678954131,0.11381053505488684,0.12988224552185273,0.07493696061704193,0.0,0.07768476590602216,0.09169237909681076,0.08164864648269683,0.09523260619782789
openai/gpt-5.5,0.09761538866069573,0.06400256411265844,0.09232396188573654,0.08655509397230254,0.0844770357702741,0.07529151591874919,0.07744536941962461,0.04486409421479228,0.07768476590602216,0.0,0.0933955225894321,0.10341923074548753,0.10065029890358212
qwen/qwen3.5-397b-a17b,0.07552801189830732,0.0859859048657956,0.096914550959851,0.10949364147212923,0.07520363374078988,0.09575078989349259,0.09140872081823627,0.08362587936065341,0.09169237909681076,0.0933955225894321,0.0,0.07473186011293331,0.06315752034834629
qwen/qwen3.5-9b,0.07107901758401142,0.10482883244115263,0.11619328828007322,0.14274095172605095,0.08302531575670125,0.12036340982381777,0.12856056752476383,0.09681377861721005,0.08164864648269683,0.10341923074548753,0.07473186011293331,0.0,0.07121136281035309
qwen/qwen3.6-35b-a3b,0.0724752988539477,0.09163824847479107,0.10104987276689184,0.11642726619433483,0.07728307765587028,0.10044196787784349,0.1006270377202561,0.09128032041969988,0.09523260619782789,0.10065029890358212,0.06315752034834629,0.07121136281035309,0.0
