,anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,anthropic/claude-sonnet-4.6,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,google/gemini-3.5-flash,openai/gpt-5.4,openai/gpt-5.4-mini,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-9b,qwen/qwen3.6-35b-a3b
anthropic/claude-haiku-4.5,inf,0.08882023238106539,0.0851025872821387,0.08046752809489435,0.11025673943403871,0.10837455583012878,0.08397329818741545,0.08381577841496626,0.09024980667218846,0.07725052295217369,0.0731018093707517,0.0739626672355204
anthropic/claude-opus-4.8,0.08882023238106539,inf,0.0656456522235951,0.07690720916705959,0.06917855947131528,0.06321623850564878,0.051574074641941234,0.08815325305878324,0.05574074410821503,0.08121099131562794,0.09833349055410773,0.07882011738863444
anthropic/claude-sonnet-4.6,0.0851025872821387,0.0656456522235951,inf,0.08969526513421919,0.08394270126530956,0.0770077072723617,0.07710875145546855,0.11070231578601775,0.08024241764232828,0.08651645527378643,0.10537620385781239,0.08787959045657559
google/gemini-3.1-flash-lite,0.08046752809489435,0.07690720916705959,0.08969526513421919,inf,0.07133935460571161,0.07416243742750522,0.07993308201730884,0.09235639418458583,0.0820531912984153,0.06224179496042531,0.07428323314156549,0.06404385356839484
google/gemini-3.1-pro-preview,0.11025673943403871,0.06917855947131528,0.08394270126530956,0.07133935460571161,inf,0.046281128422448414,0.08034856653131744,0.0997638437600818,0.07636058315866781,0.08070505423452641,0.10515012616517273,0.08793582229357869
google/gemini-3.5-flash,0.10837455583012878,0.06321623850564878,0.0770077072723617,0.07416243742750522,0.046281128422448414,inf,0.07504971046832903,0.11491303025537328,0.07929857898273719,0.08114594652691426,0.10847114363341448,0.08672610288457287
openai/gpt-5.4,0.08397329818741545,0.051574074641941234,0.07710875145546855,0.07993308201730884,0.08034856653131744,0.07504971046832903,inf,0.06783427329857539,0.039391806324348674,0.07862511663121875,0.09268695185393352,0.08235253388117361
openai/gpt-5.4-mini,0.08381577841496626,0.08815325305878324,0.11070231578601775,0.09235639418458583,0.0997638437600818,0.11491303025537328,0.06783427329857539,inf,0.06721904738969141,0.08013324804525385,0.0792033512144052,0.0785215344086973
openai/gpt-5.5,0.09024980667218846,0.05574074410821503,0.08024241764232828,0.0820531912984153,0.07636058315866781,0.07929857898273719,0.039391806324348674,0.06721904738969141,inf,0.08903845678193997,0.09699838590830558,0.08370704762640677
qwen/qwen3.5-397b-a17b,0.07725052295217369,0.08121099131562794,0.08651645527378643,0.06224179496042531,0.08070505423452641,0.08114594652691426,0.07862511663121875,0.08013324804525385,0.08903845678193997,inf,0.07344749784529048,0.05913177126792347
qwen/qwen3.5-9b,0.0731018093707517,0.09833349055410773,0.10537620385781239,0.07428323314156549,0.10515012616517273,0.10847114363341448,0.09268695185393352,0.0792033512144052,0.09699838590830558,0.07344749784529048,inf,0.06639470940378528
qwen/qwen3.6-35b-a3b,0.0739626672355204,0.07882011738863444,0.08787959045657559,0.06404385356839484,0.08793582229357869,0.08672610288457287,0.08235253388117361,0.0785215344086973,0.08370704762640677,0.05913177126792347,0.06639470940378528,inf
