,anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,anthropic/claude-sonnet-4.6,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,google/gemini-3.5-flash,openai/gpt-5.4,openai/gpt-5.4-mini,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-9b,qwen/qwen3.6-35b-a3b
anthropic/claude-haiku-4.5,inf,0.09495283944658517,0.08430699834518546,0.07905208348197336,0.11791215644761485,0.11585086169486762,0.08429219224545076,0.07827694825882706,0.08595324978915651,0.07191437998649752,0.06956458938629227,0.07242185606972984
anthropic/claude-opus-4.8,0.09495283944658517,inf,0.05966308385347882,0.0687971382514153,0.05299544591726221,0.05195932791344973,0.04583108212073284,0.09646262398193256,0.05208826473153198,0.07508474004112739,0.1036483456974959,0.08067626169729544
anthropic/claude-sonnet-4.6,0.08430699834518546,0.05966308385347882,inf,0.07254990942523973,0.07208363650531685,0.06996004437234236,0.07391947687291676,0.10555916379213909,0.07524337042254103,0.07578796214543902,0.09945332674659493,0.08249278521502296
google/gemini-3.1-flash-lite,0.07905208348197336,0.0687971382514153,0.07254990942523973,inf,0.06854303809797382,0.0744417794380738,0.0690531887766013,0.09050267157426711,0.06899224050204802,0.06001850858552489,0.06843275180893293,0.06366621205855497
google/gemini-3.1-pro-preview,0.11791215644761485,0.05299544591726221,0.07208363650531685,0.06854303809797382,inf,0.038843121957513715,0.06303650818311149,0.10522985237123597,0.06050808063595872,0.08470878889911361,0.11269412953634084,0.09188617683628447
google/gemini-3.5-flash,0.11585086169486762,0.05195932791344973,0.06996004437234236,0.0744417794380738,0.038843121957513715,inf,0.06469311806389559,0.12229438588435432,0.06974692836522667,0.08458541980293313,0.12209089929363577,0.09484405847821059
openai/gpt-5.4,0.08429219224545076,0.04583108212073284,0.07391947687291676,0.0690531887766013,0.06303650818311149,0.06469311806389559,inf,0.06671714082279051,0.03444351424938256,0.06978583284347863,0.094033427072964,0.07937488935332629
openai/gpt-5.4-mini,0.07827694825882706,0.09646262398193256,0.10555916379213909,0.09050267157426711,0.10522985237123597,0.12229438588435432,0.06671714082279051,inf,0.06499316488243483,0.07874975982030866,0.07950584421131685,0.08423370843339537
openai/gpt-5.5,0.08595324978915651,0.05208826473153198,0.07524337042254103,0.06899224050204802,0.06050808063595872,0.06974692836522667,0.03444351424938256,0.06499316488243483,inf,0.07814511226878833,0.09500274319195248,0.08052215801172147
qwen/qwen3.5-397b-a17b,0.07191437998649752,0.07508474004112739,0.07578796214543902,0.06001850858552489,0.08470878889911361,0.08458541980293313,0.06978583284347863,0.07874975982030866,0.07814511226878833,inf,0.06825374612600472,0.05485660087026174
qwen/qwen3.5-9b,0.06956458938629227,0.1036483456974959,0.09945332674659493,0.06843275180893293,0.11269412953634084,0.12209089929363577,0.094033427072964,0.07950584421131685,0.09500274319195248,0.06825374612600472,inf,0.06347719926636997
qwen/qwen3.6-35b-a3b,0.07242185606972984,0.08067626169729544,0.08249278521502296,0.06366621205855497,0.09188617683628447,0.09484405847821059,0.07937488935332629,0.08423370843339537,0.08052215801172147,0.05485660087026174,0.06347719926636997,inf
