,anthropic/claude-haiku-4.5,anthropic/claude-opus-4.8,anthropic/claude-sonnet-4.6,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,google/gemini-3.5-flash,openai/gpt-5.4,openai/gpt-5.4-mini,openai/gpt-5.5,qwen/qwen3.5-397b-a17b,qwen/qwen3.5-9b,qwen/qwen3.6-35b-a3b
anthropic/claude-haiku-4.5,0.0,0.0695601656951205,0.06751204318948975,0.0874354895182006,0.11019528065341386,0.11317792084345421,0.08081453269045374,0.0717262370685655,0.07167981831461176,0.06368177640908011,0.0973035690836237,0.09554163868509882
anthropic/claude-opus-4.8,0.0695601656951205,0.0,0.03792105066451013,0.06695757336565596,0.06055089410501922,0.05694981363587706,0.042192829003650165,0.06433393838213494,0.03955580018986528,0.05903279149411436,0.08576694356162878,0.07123604737551825
anthropic/claude-sonnet-4.6,0.06751204318948975,0.03792105066451013,0.0,0.07979720057233991,0.08049537537871962,0.06778334016030285,0.05752598402247441,0.07966746138774769,0.048641962450045234,0.06791999338829013,0.08838868948598252,0.07385653505751427
google/gemini-3.1-flash-lite,0.0874354895182006,0.06695757336565596,0.07979720057233991,0.0,0.0706931487851332,0.0796664176429975,0.07880431695417178,0.0918937626435656,0.07989105869247241,0.06366385043091304,0.08618791529407537,0.07601180404923819
google/gemini-3.1-pro-preview,0.11019528065341386,0.06055089410501922,0.08049537537871962,0.0706931487851332,0.0,0.04377464220568824,0.05790574018302975,0.07366046919074784,0.054398649657122135,0.09610271000310489,0.11096501202133358,0.09184930505305636
google/gemini-3.5-flash,0.11317792084345421,0.05694981363587706,0.06778334016030285,0.0796664176429975,0.04377464220568824,0.0,0.0646034043166425,0.08867115282157165,0.060153067776935534,0.08972331037360982,0.11164591672115452,0.08089510703028421
openai/gpt-5.4,0.08081453269045374,0.042192829003650165,0.05752598402247441,0.07880431695417178,0.05790574018302975,0.0646034043166425,0.0,0.04508476365131218,0.02621335275452876,0.07635508055222862,0.10709268425392418,0.08717603623680592
openai/gpt-5.4-mini,0.0717262370685655,0.06433393838213494,0.07966746138774769,0.0918937626435656,0.07366046919074784,0.08867115282157165,0.04508476365131218,0.0,0.040084350437183364,0.07945297047824805,0.11572738758692316,0.10720764614257411
openai/gpt-5.5,0.07167981831461176,0.03955580018986528,0.048641962450045234,0.07989105869247241,0.054398649657122135,0.060153067776935534,0.02621335275452876,0.040084350437183364,0.0,0.07504477846408844,0.10437099184558019,0.07910670948756658
qwen/qwen3.5-397b-a17b,0.06368177640908011,0.05903279149411436,0.06791999338829013,0.06366385043091304,0.09610271000310489,0.08972331037360982,0.07635508055222862,0.07945297047824805,0.07504477846408844,0.0,0.07747652531941462,0.07722098174117631
qwen/qwen3.5-9b,0.0973035690836237,0.08576694356162878,0.08838868948598252,0.08618791529407537,0.11096501202133358,0.11164591672115452,0.10709268425392418,0.11572738758692316,0.10437099184558019,0.07747652531941462,0.0,0.0786137452308591
qwen/qwen3.6-35b-a3b,0.09554163868509882,0.07123604737551825,0.07385653505751427,0.07601180404923819,0.09184930505305636,0.08089510703028421,0.08717603623680592,0.10720764614257411,0.07910670948756658,0.07722098174117631,0.0786137452308591,0.0
